15:53:45.132387 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.132464 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.132986 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.132987 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.132988 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.132989 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.132990 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133037 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133038 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133085 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.133220 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133220 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133337 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.133349 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133350 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133389 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.133551 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133552 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133599 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.133661 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133662 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133663 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.133709 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.133864 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.135521 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.135599 s140.233.174.58.60363 d151.101.117.67.443   0       
